customer_id,segment,rfm_score,transaction_count,recency_days,amount,recency_score,frequency_score,monetary_score
Bartley Collier,Do not Show Up at All,111,2,872,141,1,1,1
Bascom Prosacco,Likely to be Loyal,311,3,253,211,3,1,1
Bea Considine,Loyal,234,5,312,527,2,3,4
Beda Paucek,Do not Show Up at All,111,2,488,198,1,1,1
Benjamin Barton,Loyal,334,5,181,552,3,3,4
Benji Jacobson,Do not Show Up at All,111,2,632,94,1,1,1
Bennett Gleason,Likely to be Loyal,311,1,202,37,3,1,1
Benson Schulist,Loyal,345,7,217,764,3,4,5
Berkley Ernser DDS,Loyal,355,9,269,696,3,5,5
Bernard Bruen,First Grade,555,8,72,875,5,5,5
Bernetta O'Conner,Likely to be Loyal,522,4,114,276,5,2,2
Bernhard Lind,Likely to be Loyal,422,4,152,375,4,2,2
Bertina Renner MD,First Grade,544,6,5,528,5,4,4
Bessie Kub,Loyal,255,9,457,977,2,5,5
Bethel Wunsch,Getting Less Frequent,211,3,331,190,2,1,1
Bilal Hahn,Do not Show Up at All,111,2,588,241,1,1,1
Blair Cormier,Loyal,335,5,250,733,3,3,5
Blair Erdman PhD,Loyal,355,8,181,845,3,5,5
Bobby Corwin,Getting Less Frequent,211,3,365,246,2,1,1
Bonny Breitenberg,Almost Out,144,6,573,531,1,4,4
Boyd Cronin,Getting Less Frequent,212,3,298,318,2,1,2
Bradford Bode,Likely to be Loyal,532,5,13,330,5,3,2
Braelyn King,Loyal,433,5,170,435,4,3,3
Braiden Bogan,Loyal,233,5,479,470,2,3,3
Braulio Haag MD,Likely to be Loyal,312,3,186,381,3,1,2
Brayan Terry,Almost Out,122,4,601,338,1,2,2
Braydon Lindgren,Likely to be Loyal,411,1,176,188,4,1,1
Brionna Miller,Likely to be Loyal,422,4,174,374,4,2,2
Britany O'Hara,Others,542,7,18,330,5,4,2
Britni Daugherty,Likely to be Loyal,511,3,62,226,5,1,1
Britton Brekke,Getting Less Frequent,212,3,363,336,2,1,2
Bronson Towne,Likely to be Loyal,521,4,89,161,5,2,1
Brooks Funk,Do not Show Up at All,111,2,497,96,1,1,1
Bryson Reinger,First Grade,444,6,175,580,4,4,4
Bud Marquardt,Almost Out,132,5,521,323,1,3,2
Buddie Terry MD,Loyal,344,7,294,635,3,4,4
Buford Pollich,Likely to be Loyal,523,4,101,492,5,2,3
Burke Boehm Sr.,Do not Show Up at All,112,3,578,316,1,1,2
Burke Connelly,Loyal,543,6,41,465,5,4,3
Burns Mayer,Loyal,333,5,266,419,3,3,3
Burr O'Kon,Likely to be Loyal,422,4,172,381,4,2,2
Burton Kuvalis,Likely to be Loyal,323,4,259,393,3,2,3
Bush Macejkovic,Likely to be Loyal,313,3,203,442,3,1,3
Bush Schroeder,Loyal,344,6,236,639,3,4,4
Butler Schmitt,First Grade,445,7,122,689,4,4,5
Byrd Abshire,Likely to be Loyal,513,3,59,456,5,1,3
Byrd Kuhn MD,Loyal,334,5,225,532,3,3,4
Cali Weimann,Loyal,234,5,473,533,2,3,4
Cameron Abbott DDS,First Grade,555,8,108,723,5,5,5
Candido Krajcik,First Grade,554,8,71,613,5,5,4
Cari Renner PhD,First Grade,455,8,180,787,4,5,5
Carlton Mante,Loyal,434,5,164,522,4,3,4
Carlyn Mann,Likely to be Loyal,411,2,172,171,4,1,1
Carmel Emard,Likely to be Loyal,311,3,182,143,3,1,1
Carmella Schiller,Loyal,345,6,200,721,3,4,5
Cary McGlynn,Loyal,334,5,222,520,3,3,4
Casandra Krajcik,First Grade,455,10,144,968,4,5,5
Case Weber,First Grade,544,6,77,564,5,4,4
Casen Blick V,Require Assistance,223,4,391,407,2,2,3
Casen Kuhlman,Likely to be Loyal,511,2,27,186,5,1,1
Caswell Anderson,Almost Out,134,5,499,559,1,3,4
Catalina Ortiz,Loyal,245,7,426,837,2,4,5
Catharine Pacocha,Do not Show Up at All,112,3,601,346,1,1,2
Cathey Beatty,Others,342,6,250,343,3,4,2
Cato Cartwright,Likely to be Loyal,432,5,144,314,4,3,2
Caylee Carroll,Loyal,344,7,240,636,3,4,4
Celine Wisozk,First Grade,544,7,95,596,5,4,4
Chadrick Williamson,Likely to be Loyal,532,5,46,281,5,3,2
Chantelle Gaylord,Do not Show Up at All,112,3,526,293,1,1,2
Charity Rodriguez,Loyal,233,5,350,420,2,3,3
Charls Rempel DDS,Likely to be Loyal,411,2,155,187,4,1,1
Charolette Klein,Almost Out,224,4,474,602,2,2,4
Chase Skiles,Almost Out,145,6,525,728,1,4,5
Chastity Greenfelder PhD,Do not Show Up at All,111,3,506,222,1,1,1
Cherrelle Bartell,Others,542,6,84,277,5,4,2
Christal Dooley,Do not Show Up at All,112,3,537,311,1,1,2
Christal Lakin DDS,Others,213,3,458,491,2,1,3
Christi Connelly,Likely to be Loyal,512,3,114,295,5,1,2
Claire Terry,First Grade,445,6,167,775,4,4,5
Claire Torp,Likely to be Loyal,312,3,280,353,3,1,2
Claudette Cummings DVM,Others,442,6,140,313,4,4,2
Claus Bradtke,Almost Out,123,4,676,435,1,2,3
Clemens Torp,Loyal,345,7,221,950,3,4,5
Cleveland Fay,First Grade,555,8,88,790,5,5,5
Clovis Feil I,Likely to be Loyal,312,3,268,312,3,1,2
Coley Lind Sr.,Others,213,3,307,439,2,1,3
Collie Greenholt,Likely to be Loyal,312,3,261,342,3,1,2
Collie Von MD,Loyal,244,6,462,612,2,4,4
Con Altenwerth,Getting Less Frequent,212,2,463,271,2,1,2
Corda Towne,Loyal,355,8,183,1018,3,5,5
Corene Lind,Likely to be Loyal,521,4,59,218,5,2,1
Corey Bechtelar,Do not Show Up at All,111,2,846,237,1,1,1
Corrina Little DDS,Others,113,3,592,484,1,1,3
Corrine Champlin,Loyal,344,6,265,510,3,4,4
Cristen Hammes,Loyal,233,5,392,402,2,3,3
Cristine Baumbach,Loyal,344,6,265,620,3,4,4
Cristofer VonRueden,Loyal,344,6,229,615,3,4,4
Cristy Ferry,Do not Show Up at All,111,1,559,172,1,1,1
Curtis Runolfsdottir,Loyal,234,5,431,566,2,3,4
Daija Legros,Likely to be Loyal,523,4,30,432,5,2,3
Daisha Torphy,Likely to be Loyal,532,5,82,371,5,3,2
Damarcus Erdman II,Loyal,234,5,446,589,2,3,4
Darci Schaefer,Do not Show Up at All,111,2,583,198,1,1,1
Darrell Heathcote,Likely to be Loyal,422,4,160,316,4,2,2
Darrian Bartell I,First Grade,555,8,48,819,5,5,5
Darrion Stoltenberg,First Grade,445,6,176,766,4,4,5
Darwyn Berge,Getting Less Frequent,211,2,480,62,2,1,1
Daryn Hickle,Require Assistance,222,4,352,364,2,2,2
Dashawn Schroeder,Do not Show Up at All,111,2,589,244,1,1,1
Davian Ledner,Likely to be Loyal,322,4,199,291,3,2,2
Davian Stokes,Likely to be Loyal,423,4,143,385,4,2,3
Davie Hintz PhD,Require Assistance,222,4,430,363,2,2,2
Davion Hudson,Likely to be Loyal,311,2,251,172,3,1,1
Davy Leuschke,Likely to be Loyal,322,4,295,356,3,2,2
Deann Dicki,Getting Less Frequent,211,3,430,205,2,1,1
Deasia Lockman MD,Getting Less Frequent,211,1,392,185,2,1,1
Deena Ziemann,Likely to be Loyal,423,4,137,422,4,2,3
Deion Auer,Almost Out,122,4,847,328,1,2,2
Delfina Watsica MD,First Grade,545,6,10,668,5,4,5
Delia Witting,Likely to be Loyal,522,4,17,323,5,2,2
Dell Mitchell,Getting Less Frequent,211,2,359,231,2,1,1
Dellar Schroeder,Loyal,543,6,39,460,5,4,3
Dema Beer,Likely to be Loyal,521,4,23,251,5,2,1
Dennie Powlowski,Loyal,234,5,467,581,2,3,4
Deontae Effertz,First Grade,444,7,135,544,4,4,4
Deonte Zemlak,Loyal,534,5,95,586,5,3,4
Dereck Denesik DDS,Others,524,4,9,633,5,2,4
Derek Witting,Almost Out,135,5,556,674,1,3,5
Desi Ortiz,First Grade,444,7,154,626,4,4,4
Devante Gerhold,Almost Out,135,5,529,713,1,3,5
Devante O'Hara,Likely to be Loyal,511,3,81,166,5,1,1
Devaughn Erdman V,Likely to be Loyal,523,4,99,384,5,2,3
Devon Osinski DVM,Others,114,3,545,579,1,1,4
Devontae Swaniawski,Almost Out,122,4,508,274,1,2,2
Diandra Brakus DVM,Do not Show Up at All,111,3,557,211,1,1,1
Diego Gislason,Likely to be Loyal,331,5,224,198,3,3,1
Domingo Block,Almost Out,134,5,511,532,1,3,4
Dominick Jewess IV,Others,324,4,186,575,3,2,4
Dominik Anderson,First Grade,555,10,20,1249,5,5,5
Dominique McKenzie,Loyal,234,5,332,615,2,3,4
Donaciano Corwin,First Grade,555,8,12,892,5,5,5
Donell Dach,Likely to be Loyal,412,3,146,260,4,1,2
Donie Stroman PhD,Likely to be Loyal,511,2,92,97,5,1,1
Donta Veum,Almost Out,145,7,515,792,1,4,5
Dorathy Nader,Loyal,533,5,101,456,5,3,3
Dorcas Friesen,Almost Out,134,5,655,648,1,3,4
Dorr Lindgren,Loyal,334,5,208,583,3,3,4
Dorris Jast,Almost Out,124,4,629,549,1,2,4
Doshia Stroman,Likely to be Loyal,511,3,102,123,5,1,1
Dow Halvorson,Loyal,245,6,317,836,2,4,5
Dr. Aden Murphy,First Grade,544,7,98,596,5,4,4
Dr. Alberto Kunze II,Loyal,345,7,210,669,3,4,5
Dr. Alva Klocko,Loyal,334,5,267,548,3,3,4
Dr. Arnoldo Grimes PhD,Likely to be Loyal,313,3,282,398,3,1,3
Dr. Arnoldo Marks,First Grade,444,6,129,567,4,4,4
Dr. Barrie Bins,Likely to be Loyal,523,4,4,446,5,2,3
Dr. Bertrand Wolff,Do not Show Up at All,111,1,870,120,1,1,1
Dr. Bree Stehr DVM,Loyal,244,7,376,607,2,4,4
Dr. Buffy Williamson,Getting Less Frequent,212,3,298,353,2,1,2
Dr. Camilo Kiehn,Require Assistance,222,4,445,281,2,2,2
Dr. Carma Wyman,First Grade,544,7,44,620,5,4,4
Dr. Charlton Kutch,Likely to be Loyal,422,4,135,360,4,2,2
Dr. Chas Cummerata Jr.,Do not Show Up at All,111,2,510,169,1,1,1
Dr. Cheyenne Dach DVM,Loyal,433,5,153,406,4,3,3
Dr. Christal Wolff PhD,First Grade,455,9,116,1007,4,5,5
Dr. Collie Krajcik,First Grade,445,7,144,704,4,4,5
Dr. Crawford Mayert,Do not Show Up at All,121,4,504,222,1,2,1
Dr. Darl Rice,Require Assistance,223,4,433,392,2,2,3
Dr. Dell Baumbach III,Likely to be Loyal,512,3,80,270,5,1,2
Dr. Dillon Pollich DDS,Almost Out,132,5,558,284,1,3,2
Dr. Donal Auer DDS,Likely to be Loyal,322,4,284,370,3,2,2
Dr. Dustyn Rodriguez,Almost Out,242,7,439,265,2,4,2
Dr. Eddie Armstrong DDS,Loyal,543,6,64,433,5,4,3
Dr. Eliezer Wuckert,First Grade,444,6,130,529,4,4,4
Dr. Elroy Kirlin Jr.,Likely to be Loyal,532,5,28,363,5,3,2
Dr. Elzy Anderson,Loyal,443,6,168,448,4,4,3
Dr. Erving Pagac Sr.,Likely to be Loyal,511,3,62,244,5,1,1
Dr. Ferd Stroman,Likely to be Loyal,312,3,183,298,3,1,2
Dr. Fleming Grant IV,Do not Show Up at All,111,2,686,172,1,1,1
Dr. Flint Zboncak,Require Assistance,222,4,327,277,2,2,2
Dr. Franco Kemmer II,Loyal,355,12,260,1065,3,5,5
Dr. Fredrick Klein,Loyal,343,6,199,471,3,4,3
Dr. Fronnie Kemmer,Do not Show Up at All,112,3,531,363,1,1,2
Dr. Gerard Bauch,Likely to be Loyal,422,4,173,282,4,2,2
Dr. Grady Beier DDS,Loyal,234,5,408,542,2,3,4
Dr. Gussie McLaughlin III,Loyal,433,5,132,471,4,3,3
Dr. Halley Johnston PhD,Getting Less Frequent,212,3,399,266,2,1,2
Dr. Hansel Steuber,Require Assistance,222,4,393,333,2,2,2
Dr. Hildegard Murray,Loyal,345,7,213,672,3,4,5
Dr. Hjalmar Langworth II,Likely to be Loyal,411,2,119,114,4,1,1
Dr. Hoke Jacobs,Loyal,435,5,133,708,4,3,5
Dr. Howard Zulauf V,Do not Show Up at All,111,1,569,113,1,1,1
Dr. Humphrey Grant,Likely to be Loyal,411,2,164,138,4,1,1
Dr. Isaak Oberbrunner DVM,Likely to be Loyal,331,5,228,228,3,3,1
Dr. Ismael Stracke,Almost Out,134,5,491,521,1,3,4
Dr. Jaheem Pfannerstill III,First Grade,444,6,153,641,4,4,4
Dr. Jaren Schmeler,Likely to be Loyal,513,3,102,421,5,1,3
Dr. Jeannie Rutherford,Almost Out,123,4,511,416,1,2,3
Dr. Jeff Bartoletti,First Grade,555,8,81,771,5,5,5
Dr. Jeffie Johns,Loyal,354,8,294,665,3,5,4
Dr. Jerod Berge Jr.,Loyal,243,6,422,392,2,4,3
Dr. Jesse Schowalter,First Grade,545,6,29,714,5,4,5
Dr. Jett Schaefer,Do not Show Up at All,112,3,589,366,1,1,2
Dr. Karissa Kerluke,Do not Show Up at All,111,1,700,57,1,1,1
Dr. Keenen Parker,First Grade,554,8,57,532,5,5,4
Dr. Kelcie Yost MD,Loyal,244,7,481,646,2,4,4
Dr. Kieth Wiegand,Likely to be Loyal,322,4,210,350,3,2,2
Dr. Kloe Parker DVM,Likely to be Loyal,522,4,113,289,5,2,2
Dr. Kyle Doyle II,Loyal,355,8,183,889,3,5,5
Dr. Kyra Littel,Require Assistance,222,4,334,259,2,2,2
Dr. Letta Daniel MD,First Grade,445,7,161,688,4,4,5
Dr. Linn Schuppe,Likely to be Loyal,311,3,200,111,3,1,1
Dr. Lovett Legros DDS,Loyal,433,5,151,420,4,3,3
Dr. Lucious Langosh,Likely to be Loyal,422,4,116,265,4,2,2
Dr. Lynn Gleason Jr.,Getting Less Frequent,211,3,476,114,2,1,1
Dr. Mallory Dooley MD,Getting Less Frequent,211,1,399,33,2,1,1
Dr. Matteo Little,Likely to be Loyal,522,4,93,311,5,2,2
Dr. Mazie Predovic MD,Likely to be Loyal,532,5,99,283,5,3,2
Dr. Mettie Green DVM,Likely to be Loyal,413,3,179,464,4,1,3
Dr. Micayla Kutch,First Grade,555,10,32,834,5,5,5
Dr. Mike Legros,Likely to be Loyal,311,1,186,23,3,1,1
Dr. Myles Stroman,Do not Show Up at All,111,2,485,187,1,1,1
Dr. Ned Swaniawski,Loyal,343,6,208,457,3,4,3
Dr. Nehemiah Kassulke,Do not Show Up at All,111,1,534,111,1,1,1
Dr. Niles Altenwerth II,Loyal,244,7,380,644,2,4,4
Dr. Patti Rempel,Loyal,244,7,462,625,2,4,4
Dr. Ras Kshlerin,Loyal,535,5,78,672,5,3,5
Dr. Rayburn Wilkinson I,Almost Out,143,6,561,489,1,4,3
Dr. Rene Kuhlman DDS,Do not Show Up at All,112,3,515,355,1,1,2
Dr. Romeo Sauer PhD,Likely to be Loyal,312,3,276,312,3,1,2
Dr. Santana Schultz V,Likely to be Loyal,423,4,131,390,4,2,3
Dr. Shaniece Herzog PhD,Likely to be Loyal,422,4,148,308,4,2,2
Dr. Shea Buckridge PhD,Loyal,443,6,166,420,4,4,3
Dr. Sherie Mayer,First Grade,444,7,172,654,4,4,4
Dr. Shirl Cremin PhD,Likely to be Loyal,322,4,201,326,3,2,2
Dr. Skyler Windler Sr.,Loyal,543,6,102,472,5,4,3
Dr. Tyreke DuBuque IV,Loyal,345,7,210,690,3,4,5
Dr. Valentine Volkman DVM,First Grade,555,8,81,1068,5,5,5
Dr. Vic Bauch,First Grade,555,9,64,850,5,5,5
Dr. Wilfredo Wisozk V,Getting Less Frequent,212,3,477,332,2,1,2
Dr. Willis Bahringer,First Grade,544,6,42,665,5,4,4
Dr. Woodson Klein,Others,424,4,152,515,4,2,4
Drew Rohan,Getting Less Frequent,211,2,432,230,2,1,1
Dudley Franecki,Likely to be Loyal,312,2,222,375,3,1,2
Dulce Wintheiser,Do not Show Up at All,121,4,490,203,1,2,1
Dwain Skiles Jr.,Loyal,245,6,481,805,2,4,5
Dwan Wilderman,Likely to be Loyal,412,3,174,268,4,1,2
Dyllan Osinski,Likely to be Loyal,511,1,47,155,5,1,1
Ean Raynor,Do not Show Up at All,111,2,499,77,1,1,1
Earnest Rolfson,Likely to be Loyal,423,4,148,433,4,2,3
Ebb Doyle,Likely to be Loyal,432,5,170,307,4,3,2
Egbert McLaughlin,Loyal,543,6,63,466,5,4,3
Elaine Emard,Require Assistance,222,4,480,301,2,2,2
Elam Hirthe DVM,Almost Out,144,6,652,546,1,4,4
Elenora Trantow,First Grade,455,9,172,826,4,5,5
Elgie Cole,Loyal,433,5,172,476,4,3,3
Elgin Abbott,Do not Show Up at All,111,2,575,233,1,1,1
Elias Huels V,Almost Out,145,7,569,841,1,4,5
Elinor Howell,Loyal,245,6,320,746,2,4,5
Elinore Doyle,First Grade,544,7,83,531,5,4,4
Elizabet Schiller,Likely to be Loyal,511,2,62,194,5,1,1
Elizah Abbott,Loyal,543,6,102,431,5,4,3
Elizbeth West,Likely to be Loyal,311,2,187,183,3,1,1
Eller Marquardt,Almost Out,123,4,488,401,1,2,3
Elmyra Schaefer,Loyal,255,12,326,1150,2,5,5
Elon Haag,Do not Show Up at All,111,1,696,32,1,1,1
Elsie Parker,First Grade,555,8,13,839,5,5,5
Elza Gleichner,Getting Less Frequent,212,3,457,268,2,1,2
Emanuel Reichert,Loyal,333,5,269,421,3,3,3
Emmaline Stark MD,Likely to be Loyal,432,5,129,282,4,3,2
Enid Reinger,First Grade,555,9,7,792,5,5,5
Enos VonRueden,Do not Show Up at All,111,3,629,99,1,1,1
Epifanio Kozey,Do not Show Up at All,111,1,493,43,1,1,1
Erastus Macejkovic,Loyal,534,5,80,519,5,3,4
Erla Schulist,Likely to be Loyal,512,3,77,270,5,1,2
Errol Bogisich,Do not Show Up at All,111,1,684,81,1,1,1
Esequiel Kirlin I,First Grade,455,12,159,768,4,5,5
Esker Cormier,Likely to be Loyal,522,4,33,283,5,2,2
Essence Metz DDS,Loyal,255,8,379,722,2,5,5
Ethyl Botsford,Loyal,354,8,252,526,3,5,4
Etta Franecki MD,Loyal,255,8,481,892,2,5,5
Etta Towne,First Grade,444,6,134,581,4,4,4
Eugenie Conn PhD,Do not Show Up at All,112,2,548,286,1,1,2
Evelyn Schinner,Getting Less Frequent,211,2,317,91,2,1,1
Ewart Haag,First Grade,454,10,168,595,4,5,4
Ewart Luettgen,Do not Show Up at All,111,2,528,252,1,1,1
Ewin Torphy,Likely to be Loyal,513,2,98,424,5,1,3
Exie Gutmann,First Grade,544,7,103,651,5,4,4
Exie Shields,Likely to be Loyal,311,3,227,251,3,1,1
Ezzard Bernhard,Almost Out,242,6,423,317,2,4,2
Fannie Watsica,Loyal,344,7,181,648,3,4,4
Fidel Kilback,Likely to be Loyal,523,4,94,411,5,2,3
Finnegan Franecki,Almost Out,142,6,572,263,1,4,2
Flem Kozey,Others,342,6,182,365,3,4,2
Flo Gulgowski,Require Assistance,223,4,379,416,2,2,3
Florine Jones,Almost Out,122,4,509,269,1,2,2
Floy Krajcik,Loyal,333,5,272,484,3,3,3
Forest Pouros,Others,113,3,613,455,1,1,3
Fount Flatley,First Grade,455,11,146,937,4,5,5
Francisquita Heidenreich,Do not Show Up at All,111,3,734,72,1,1,1
Franz Mohr,Almost Out,123,4,527,430,1,2,3
Franz Powlowski,Getting Less Frequent,211,1,427,169,2,1,1
Friend Stracke,Loyal,244,6,456,571,2,4,4
Gabriel Schiller,Others,213,3,416,420,2,1,3
Garfield Hammes,Loyal,234,5,433,644,2,3,4
Garrison Kling,Likely to be Loyal,512,3,28,294,5,1,2
Gayle Kuphal,Loyal,533,5,20,460,5,3,3
Gaylen Kiehn,Almost Out,123,4,652,489,1,2,3
Gee Nitzsche,Likely to be Loyal,411,2,176,165,4,1,1
Geoffrey Reichert,Do not Show Up at All,112,3,548,301,1,1,2
Georgene Aufderhar PhD,Loyal,443,6,122,464,4,4,3
Geralyn Rosenbaum,Loyal,533,5,80,393,5,3,3
Geri Wuckert,Do not Show Up at All,111,1,599,86,1,1,1
Germaine Becker,Require Assistance,223,4,444,400,2,2,3
Gerold Bernhard Jr.,Likely to be Loyal,411,2,126,149,4,1,1
Gianna Stiedemann,First Grade,545,7,30,759,5,4,5
Gilmer Kertzmann,Almost Out,135,5,582,677,1,3,5
Gilmore Schmitt,Likely to be Loyal,432,5,125,353,4,3,2
Ginger Stamm,Likely to be Loyal,511,3,34,248,5,1,1
Ginger Wintheiser,Almost Out,122,4,633,340,1,2,2
Girtha Douglas,Likely to be Loyal,411,3,165,143,4,1,1
Giuseppe Tremblay,Do not Show Up at All,111,3,577,162,1,1,1
Glennis Howe,Likely to be Loyal,511,3,101,188,5,1,1
Gonzalo Jones,Loyal,533,5,100,450,5,3,3
Gracia Wunsch,Loyal,344,6,225,662,3,4,4
Gregg Franecki,Likely to be Loyal,322,4,225,317,3,2,2
Grisel Reichert MD,Likely to be Loyal,432,5,150,260,4,3,2
Gunner Wiegand,Likely to be Loyal,521,4,96,234,5,2,1
Haden Kautzer,Likely to be Loyal,411,2,171,236,4,1,1
Hakeem Leffler,Likely to be Loyal,332,5,264,332,3,3,2
Halbert Nolan,Do not Show Up at All,111,2,516,95,1,1,1
Hampton Rath,First Grade,444,6,127,619,4,4,4
Handy Walsh,First Grade,445,7,116,758,4,4,5
Hansel Kiehn,Loyal,443,6,134,416,4,4,3
Hansford Moen PhD,Loyal,345,7,186,1004,3,4,5
Hardy Leannon,Likely to be Loyal,411,3,136,236,4,1,1
Harlon Rolfson,Loyal,244,7,449,603,2,4,4
Harrie Swaniawski,Almost Out,132,5,636,363,1,3,2
Hassie Schiller PhD,Likely to be Loyal,311,2,187,119,3,1,1
Hattie Roberts,Loyal,433,5,122,436,4,3,3
Helmer Monahan,Getting Less Frequent,212,3,331,264,2,1,2
Helyn Ondricka,Loyal,333,5,277,384,3,3,3
Herman Kling I,Loyal,244,6,371,578,2,4,4
Herschel Flatley,Loyal,244,6,379,518,2,4,4
Hershel Shields,First Grade,445,6,179,819,4,4,5
Hilma Little,First Grade,544,7,65,513,5,4,4
Hiroshi Terry,Loyal,343,6,239,434,3,4,3
Hobson Barton,Do not Show Up at All,111,1,516,102,1,1,1
Holland Lynch,Almost Out,143,6,486,499,1,4,3
Hosteen Jacobi,Almost Out,122,4,545,300,1,2,2
Howell Blick,Likely to be Loyal,331,5,245,235,3,3,1
Hughey Bartoletti DDS,First Grade,555,10,73,1036,5,5,5
Hurley Schiller I,Loyal,245,6,442,687,2,4,5
Hyman Kemmer,Loyal,333,5,203,455,3,3,3
Iesha Mraz,Loyal,443,6,131,466,4,4,3
Iliana Donnelly,Loyal,333,5,251,486,3,3,3
Imani Swift,Loyal,244,6,443,546,2,4,4
Imelda Harber,Loyal,243,6,455,474,2,4,3
Ingrid O'Kon MD,Loyal,255,9,463,922,2,5,5
Irwin Ritchie,First Grade,445,6,159,694,4,4,5
Isabela Mertz MD,First Grade,555,13,97,1104,5,5,5
Isidore Skiles,Likely to be Loyal,323,4,189,410,3,2,3
Iverson Herman Sr.,First Grade,544,6,106,584,5,4,4
Iverson Hilpert,Likely to be Loyal,411,2,161,149,4,1,1
Iverson Robel,First Grade,455,9,160,880,4,5,5
Ivy Kohler,Loyal,245,7,356,719,2,4,5
Iyanna Schmeler PhD,Likely to be Loyal,323,4,182,473,3,2,3
Izetta Stracke,First Grade,544,7,106,523,5,4,4
Jabbar Dickens,First Grade,455,10,160,1060,4,5,5
Jacqueline Nikolaus,Loyal,343,7,280,434,3,4,3
Jacquez Jacobs,Getting Less Frequent,211,2,375,87,2,1,1
Jadiel Wunsch,Loyal,235,5,343,714,2,3,5
Jaime Nader,Likely to be Loyal,322,4,191,276,3,2,2
Jaliyah Purdy,Likely to be Loyal,311,3,241,249,3,1,1
Jammie Runolfsdottir,Likely to be Loyal,332,5,276,374,3,3,2
Janeen West,Likely to be Loyal,532,5,66,374,5,3,2
Janell Heller DVM,Do not Show Up at All,111,3,488,203,1,1,1
Janiyah Cassin,Getting Less Frequent,211,2,360,75,2,1,1
Jarred Stiedemann DDS,Require Assistance,222,4,372,291,2,2,2
